序号	基金代码	基金简称	日期	单位净值	累计净值	日增长率	近1周	近1月	近3月	近6月	近1年	近2年	近3年	今年来	成立来
1	160125	南方香港优选	9月9日	0.8671	0.9571	-0.16%	4.99%	2.25%	11.25%	13.18%	-2.52%	-23.99%	-14.58%	-4.60%	-5.71%
2	378006	上投摩根全球	9月12日	0.825	0.825	-3.17%	4.93%	3.78%	9.09%	13.15%	9.51%	-16.88%	-1.96%	5.19%	-14.80%
3	118001	易方达亚洲精	9月12日	0.755	0.755	-3.21%	4.70%	5.98%	10.33%	19.82%	13.70%	-7.14%	-3.70%	-1.52%	-22.00%
4	519709	交银全球资源	9月12日	1.198	1.221	-2.92%	4.67%	4.75%	9.40%	15.22%	5.56%	-1.44%	10.47%	8.06%	25.71%
5	040021	华安大中华升	9月12日	1.23	1.23	-3.15%	4.18%	7.17%	11.21%	20.15%	12.99%	-4.15%	27.77%	6.10%	27.00%
6	040018	华安香港精选	9月12日	1.129	1.129	-3.01%	3.93%	7.48%	11.92%	19.63%	9.91%	-2.35%	25.70%	4.58%	16.40%
7	519602	海富通大中华	9月12日	0.888	0.888	-2.95%	3.39%	6.89%	12.68%	26.56%	19.92%	-1.29%	9.58%	8.28%	-8.50%
8	160216	国泰商品	9月12日	0.41	0.41	0.74%	3.30%	4.63%	-14.32%	5.44%	-22.48%	-49.88%	-53.70%	-1.45%	-59.30%
9	470888	汇添富香港混	9月12日	0.997	1.027	-2.16%	3.24%	6.81%	11.61%	16.86%	-3.14%	-6.68%	2.23%	0.39%	4.72%
10	070012	嘉实海外中国	9月12日	0.677	0.677	-2.31%	3.13%	8.28%	17.06%	23.09%	15.31%	-0.86%	13.05%	9.65%	-30.70%
11	050015	博时大中华亚	9月12日	0.999	1.081	-2.63%	3.12%	3.43%	9.85%	16.46%	3.95%	-17.50%	2.27%	1.38%	9.96%
12	100061	富国中国中小	9月12日	1.778	1.778	-2.63%	2.87%	6.04%	11.14%	21.17%	5.00%	1.22%	30.71%	0.88%	82.60%
13	460010	华泰柏瑞亚洲	9月12日	0.788	0.788	-2.84%	2.66%	3.97%	7.70%	11.10%	12.17%	-8.05%	-2.87%	2.53%	-18.90%
14	457001	国富亚洲机会	9月12日	0.849	0.849	-1.96%	2.61%	9.76%	14.40%	19.94%	14.70%	-22.19%	-10.35%	4.21%	-13.40%
15	501018	南方原油	9月9日	0.9412	0.9412	-2.55%	2.50%	4.45%	---	---	---	---	---	---	-5.88%
16	162411	华宝标普石油	9月12日	0.638	0.638	1.43%	2.41%	6.51%	4.42%	30.74%	12.52%	-46.02%	-40.98%	28.89%	-36.20%
17	001117	中欧精选定期	9月9日	0.777	0.777	---	2.37%	4.30%	1.04%	15.97%	-3.72%	---	---	-24.85%	-22.30%
18	519601	海富通中国海	9月12日	1.399	1.669	-2.58%	2.35%	5.82%	9.79%	21.28%	12.19%	-5.59%	5.90%	2.72%	76.08%
